"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"6508",2002-01-26,"Burkina Faso","Morocco",1,2,"African Cup of Nations","Ségou","Mali",TRUE,"BFA","MAR"
"6509",2002-01-26,"Canada","Martinique",1,1,"Gold Cup","Miami","United States",TRUE,"CAN","MTQ"
"6510",2002-01-26,"DR Congo","Togo",0,0,"African Cup of Nations","Sikasso","Mali",TRUE,"COD","TOG"
"6511",2002-01-26,"Costa Rica","Haiti",2,1,"Gold Cup","Miami","United States",TRUE,"CRC","HAI"
"6512",2002-01-26,"Senegal","Zambia",1,0,"African Cup of Nations","Bamako","Mali",TRUE,"SEN","ZAM"
"6513",2002-01-26,"Kuwait","Qatar",0,1,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"KUW","QAT"
"6514",2002-01-27,"Mexico","South Korea",0,0,"Gold Cup","Pasadena","United States",TRUE,"MEX","KOR"
"6515",2002-01-27,"United States","El Salvador",4,0,"Gold Cup","Pasadena","United States",FALSE,"USA","SLV"
"6516",2002-01-27,"United Arab Emirates","Bahrain",1,2,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"UAE","BHR"
"6517",2002-01-27,"Saudi Arabia","Oman",2,0,"Gulf Cup","Riyadh","Saudi Arabia",FALSE,"KSA","OMA"
"6518",2002-01-28,"Liberia","Nigeria",0,1,"African Cup of Nations","Mopti","Mali",TRUE,"LBR","NGA"
"6519",2002-01-28,"Mali","Algeria",2,0,"African Cup of Nations","Bamako","Mali",FALSE,"MLI","ALG"
"6520",2002-01-29,"Cameroon","Togo",3,0,"African Cup of Nations","Sikasso","Mali",TRUE,"CMR","TOG"
"6521",2002-01-29,"DR Congo","Ivory Coast",3,1,"African Cup of Nations","Kayes","Mali",TRUE,"COD","CIV"
"6522",2002-01-29,"Kuwait","United Arab Emirates",2,1,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"KUW","UAE"
"6523",2002-01-30,"Burkina Faso","Ghana",1,2,"African Cup of Nations","Mopti","Mali",TRUE,"BFA","GHA"
"6524",2002-01-30,"Costa Rica","South Korea",3,1,"Gold Cup","Pasadena","United States",TRUE,"CRC","KOR"
"6525",2002-01-30,"South Africa","Morocco",3,1,"African Cup of Nations","Ségou","Mali",TRUE,"RSA","MAR"
