팀,구분,연도,기록
KIA,장타력,1993,0.347
KIA,장타력,1994,0.346
KIA,장타력,1995,0.38
KIA,장타력,1996,0.372
KIA,장타력,1997,0.381
KIA,장타력,1998,0.392
KIA,장타력,1999,0.484
KIA,장타력,2000,0.457
KIA,장타력,2001,0.426
KIA,장타력,2002,0.42
KIA,장타력,2003,0.393
KIA,장타력,2004,0.423
KIA,장타력,2005,0.434
KIA,장타력,2006,0.38
KIA,장타력,2007,0.376
KIA,장타력,2008,0.395
KIA,장타력,2009,0.426
KIA,장타력,2010,0.359
KIA,장타력,2011,0.362
KIA,장타력,2012,0.351
KIA,장타력,2013,0.348
KIA,장타력,2014,0.415
KIA,장타력,2015,0.445
KIA,장타력,2016,0.436
KIA,장타력,2017,0.435
KIA,장타력,2018,0.422
KIA,장타력,2019,0.362
KIA,장타력,2020,0.338
KIA,OPS,1982,NA
KIA,OPS,1983,NA
KIA,OPS,1984,NA
KIA,OPS,1985,NA
KIA,OPS,1986,0.647
KIA,OPS,1987,0.797
KIA,OPS,1988,0.725
KIA,OPS,1989,0.757
KIA,OPS,1990,0.766
KIA,OPS,1991,0.787
KIA,OPS,1992,0.782
KIA,OPS,1993,0.664
KIA,OPS,1994,0.669
KIA,OPS,1995,0.726
KIA,OPS,1996,0.699
KIA,OPS,1997,0.765
KIA,OPS,1998,0.784
KIA,OPS,1999,0.838
KIA,OPS,2000,0.832
KIA,OPS,2001,0.782
KIA,OPS,2002,0.748
KIA,OPS,2003,0.736
KIA,OPS,2004,0.763
KIA,OPS,2005,0.775
KIA,OPS,2006,0.711
KIA,OPS,2007,0.718
KIA,OPS,2008,0.728
KIA,OPS,2009,0.774
KIA,OPS,2010,0.69
KIA,OPS,2011,0.699
KIA,OPS,2012,0.69
KIA,OPS,2013,0.693
KIA,OPS,2014,0.775
KIA,OPS,2015,0.764
KIA,OPS,2016,0.792
KIA,OPS,2017,0.785
KIA,OPS,2018,0.763
KIA,OPS,2019,0.686
KIA,OPS,2020,0.658
KIA,타율,1982,0.261
KIA,타율,1983,0.268
KIA,타율,1984,0.248
KIA,타율,1985,0.272
KIA,타율,1986,0.259
KIA,타율,1987,0.252
KIA,타율,1988,0.283
KIA,타율,1989,0.255
KIA,타율,1990,0.27
KIA,타율,1991,0.259
KIA,타율,1992,0.272
KIA,타율,1993,0.252
KIA,타율,1994,0.271
KIA,타율,1995,0.242
KIA,타율,1996,0.245
KIA,타율,1997,0.258
KIA,타율,1998,0.258
KIA,타율,1999,0.278
KIA,타율,2000,0.253
KIA,타율,2001,0.279
KIA,타율,2002,0.269
KIA,타율,2003,0.272
KIA,타율,2004,0.268
KIA,타율,2005,0.263
KIA,타율,2006,0.255
KIA,타율,2007,0.257
KIA,타율,2008,0.27
KIA,타율,2009,0.267
